selection	fraction	group	n	spearman	R_min	R_max	sys_min	sys_max
high_sys	0.2	G07	103	-0.44506435882792256	11.924671717770792	19.73251552618632	0.38619473471798993	0.7458522392903429
high_sys	0.2	G08	103	-0.3933137108465492	11.007140400814665	19.014831400186676	0.42567784198479175	0.7448532509168573
high_sys	0.2	G09	103	-0.439243509203532	13.008757432593988	18.184143486638956	0.44857270077826034	0.7811353314855473
high_sys	0.2	G10	103	-0.2744914993630014	11.894197244832187	19.108354503580365	0.5307847902710544	0.8595596058028344
high_sys	0.2	G11	103	-0.27365681149233406	11.872415245017677	18.89892864280738	0.5544017053829144	0.7835927061265431
high_sys	0.2	G12	103	-0.4374752888459342	12.501461119571193	18.0919520648461	0.5775865229624066	0.8247662746241669
high_sys	0.2	P3x3	205	-0.7595004944909528	12.206403909027228	18.61462836541913	0.366266702630316	0.6464199674959318
high_sys	0.2	P3x4	205	-0.6780863896588709	11.76521412117614	16.940908723555584	0.4231474367135251	0.7119073397957835
high_sys	0.2	P3x5	205	-0.6489532114053292	11.10919623389961	15.570226798435769	0.46240596590536476	0.7650778325167292
high_sys	0.2	P3x6	205	-0.6654093131451017	10.769324413781826	15.288465915654731	0.48895527663242466	0.8073487367323776
high_sys	0.2	P4x4	205	-0.5591397250351715	9.789933856974514	15.0519574524808	0.48908782641859655	0.8141002333029529
high_sys	0.2	P4x5	205	-0.5313869426529787	9.513616925654807	13.705079619248805	0.5418893207283167	0.8381244889295797
high_sys	0.2	P4x6	205	-0.4053892549205332	9.584511899485836	13.7116713138086	0.5557046785514699	0.8292665551981732
high_sys	0.2	P5x5	205	-0.40624033653243435	9.173001599591453	13.610628672158144	0.5815713129294381	0.8437955079134134
high_sys	0.2	P5x6	205	-0.25831510913624267	9.376204109900643	12.011991158747236	0.6171506491858149	0.86258589584944
high_sys	0.2	P6x6	205	-0.21236227382262401	9.070259628314721	11.245648718656366	0.652545071075097	0.8536118881702471
high_sys	0.1	G05	52	-0.4316571330999744	13.481015904770645	20.721257460503924	0.3562788258735162	0.714410363898728
high_sys	0.1	G06	52	-0.3652352087424229	13.465125318730331	19.609834947267963	0.4041812678894806	0.6908550887351059
high_sys	0.1	G07	52	-0.38453000939127463	11.924671717770792	18.14778962771413	0.48473715992565536	0.7458522392903429
high_sys	0.1	G08	52	-0.346538034662341	11.007140400814665	18.86931071455175	0.5074913030553876	0.7448532509168573
high_sys	0.1	G09	52	-0.5478528131136343	13.08971764257176	17.32190025120108	0.5182611150413713	0.7811353314855473
high_sys	0.1	G10	52	-0.20310765815760265	11.894197244832187	17.284534385158896	0.5949424195457518	0.8595596058028344
high_sys	0.1	G11	52	-0.01118415435840519	12.601674297433936	16.44669948734343	0.6085679647964359	0.7835927061265431
