source_name	group	baseline_R	balanced_R	delta_R	baseline_sys	balanced_sys	delta_sys	baseline_covariance_rho	balanced_covariance_rho
random_4x4_s3_252	4x4	24.044872353729197	12.759397291572117	-11.28547506215708	0.19347421229348882	0.5253070539920363	0.33183284169854743	8.404061773048639	1.0000000000000109
random_4x5_s1_220	4x5	12.34907922928502	11.004573018810257	-1.3445062104747638	0.5199788207481874	0.5724780410210784	0.052499220272891	1.8261180531177594	1.0000000000000004
random_4x6_s1_62	4x6	23.314612979209553	11.72450644446255	-11.590106534747003	0.1574112368560665	0.6897428796224441	0.5323316427663776	10.21875495153639	1.0000000000000009
random_5x5_s0_94	5x5	13.705802588902495	10.727819933629391	-2.977982655273104	0.43085756407458004	0.6867529254181268	0.2558953613435468	2.972182201588544	1.0
random_5x6_s3_222	5x6	10.455405572407516	10.502186402821204	0.04678083041368808	0.686377289370374	0.7219046097317596	0.03552732036138562	1.7559164846279194	1.0000000000000002
random_6x6_s3_111	6x6	10.156186294172722	10.054394549489702	-0.10179174468301966	0.6241788326126009	0.7678222195485513	0.14364338693595047	1.7646948218488836	1.0000000000000004
random_3x3_s3_173	3x3	13.990573847579308	13.780949876272011	-0.20962397130729649	0.539423603251115	0.5992804742548895	0.05985687100377446	1.5629033623101123	1.0000000000000004
random_3x4_s3_30	3x4	292.83793087746335	13.613090868631309	-279.224840008832	0.0014877940493297779	0.5551796718333254	0.5536918777839956	1711.908129297167	1.0000000000000702
random_3x5_s1_9	3x5	21.428163014611044	11.478588538369422	-9.949574476241622	0.18377860373756713	0.7253928017628981	0.541614198025331	8.840983174608574	1.0000000000000004
random_3x6_s3_60	3x6	21.014301252597882	11.756513808396738	-9.257787444201144	0.22174303500432285	0.6828348997207396	0.4610918647164168	5.804570281054346	1.0000000000000004
random_4x4_s2_51	4x4	47.20802110684607	11.513425577121346	-35.69459552972472	0.05454008166020007	0.7303009145245913	0.6757608328643913	41.14731354562731	1.0000000000000022
random_4x5_s2_120	4x5	12.790149843934628	10.669987933093545	-2.120161910841084	0.32405982839285075	0.7790080082450836	0.4549481798522329	3.2878452826915137	1.0
