definition	first_stable_n	master_seed	pairwise_l2_mean	population	relative_change	requested_n	side_count	stability_threshold	used_n
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	12	20260717	0.035205468195601025	repulsive-gap[alpha=16]	0.06387122667638588	24	6	0.15	24
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260717	0.10461942936211627	repulsive-gap[alpha=4]	NA	4	6	0.15	4
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260717	0.1300009499268511	repulsive-gap[alpha=4]	0.24260809602471156	8	6	0.15	8
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260717	0.10891060127733392	repulsive-gap[alpha=4]	0.16223226569793756	12	6	0.15	12
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260717	0.08675313261750903	repulsive-gap[alpha=4]	0.20344638997449205	24	6	0.15	24
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260717	0.2588197869930893	repulsive-gap[alpha=1]	NA	4	6	0.15	4
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260717	0.22595858525453266	repulsive-gap[alpha=1]	0.12696556982884016	8	6	0.15	8
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260717	0.32875388881520257	repulsive-gap[alpha=1]	0.4549298423198897	12	6	0.15	12
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260717	0.3645074818137235	repulsive-gap[alpha=1]	0.10875488994935831	24	6	0.15	24
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260717	0.17317234101015486	current-baseline[delta=0.2]	NA	4	6	0.15	4
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260717	0.46821406268924903	current-baseline[delta=0.2]	1.703746221585079	8	6	0.15	8
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260717	0.35768664413634577	current-baseline[delta=0.2]	0.23606172338796172	12	6	0.15	12
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260717	0.29916763709492983	current-baseline[delta=0.2]	0.16360411550370668	24	6	0.15	24
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260718	0.00439185367693266	repulsive-gap[regular]	NA	4	3	0.15	4
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260718	0.004241117314868364	repulsive-gap[regular]	0.03432180877427888	8	3	0.15	8
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260718	0.003721359120212609	repulsive-gap[regular]	0.1225521852068568	12	3	0.15	12
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260718	0.0034940502372122124	repulsive-gap[regular]	0.061082221752199496	24	3	0.15	24
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260718	0.024271670533246012	regular-mutation[steps=4,scale=0.03]	NA	4	3	0.15	4
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260718	0.03310771514135309	regular-mutation[steps=4,scale=0.03]	0.36404764954286717	8	3	0.15	8
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	12	20260718	0.029913792793572445	regular-mutation[steps=4,scale=0.03]	0.09647063634999346	12	3	0.15	12
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	12	20260718	0.026673985448985693	regular-mutation[steps=4,scale=0.03]	0.10830479996113657	24	3	0.15	24
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260718	0.07773296656397344	repulsive-gap[alpha=16]	NA	4	3	0.15	4
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260718	0.23122519887787743	repulsive-gap[alpha=16]	1.9746092179253374	8	3	0.15	8
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260718	0.19610654314860107	repulsive-gap[alpha=16]	0.15188074612847205	12	3	0.15	12
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260718	0.22893163481553272	repulsive-gap[alpha=16]	0.16738396965193666	24	3	0.15	24
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260718	0.40687555751228355	repulsive-gap[alpha=4]	NA	4	3	0.15	4
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260718	0.3323580942788989	repulsive-gap[alpha=4]	0.18314558802450298	8	3	0.15	8
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	12	20260718	0.3474308931359684	repulsive-gap[alpha=4]	0.04535108100728595	12	3	0.15	12
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	12	20260718	0.38764290388920286	repulsive-gap[alpha=4]	0.11574103382193279	24	3	0.15	24
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260718	0.474008077757578	repulsive-gap[alpha=1]	NA	4	3	0.15	4
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260718	0.5340099902667023	repulsive-gap[alpha=1]	0.12658415610337145	8	3	0.15	8
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260718	0.5419311404801659	repulsive-gap[alpha=1]	0.01483333712447503	12	3	0.15	12
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260718	0.8138461976724856	repulsive-gap[alpha=1]	0.5017520435371097	24	3	0.15	24
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260718	0.6374201458359846	current-baseline[delta=0.2]	NA	4	3	0.15	4
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260718	0.8028237062234133	current-baseline[delta=0.2]	0.25948906928647475	8	3	0.15	8
