evidence_source	slice	hypothesis	control_or_bucket	classification	n_selected	selected_mean_sys	selected_max_sys	baseline_mean_sys	baseline_p95_sys	selected_above_baseline_p95	effect_size	support_detail	interpretation_boundary
retained_fixed_source_facet_buckets	random_sample:facet_8:top_decile	ridge_area_concentration_distribution_signal	random_sample:facet_8	survives	77						3.196803196803197	feature=ridge_symp_area_effective_face_count; rule=highest_15_percent; precision=0.324675; recall=0.480769; spearman=0.78556	retained-table fixed source/facet diagnostic; not generated-candidate validation
retained_fixed_source_facet_buckets	random_sample:facet_10:top_decile	ridge_area_concentration_distribution_signal	random_sample:facet_10	survives	77						3.196803196803197	feature=ridge_symp_area_effective_face_count; rule=highest_15_percent; precision=0.324675; recall=0.480769; spearman=0.722047	retained-table fixed source/facet diagnostic; not generated-candidate validation
retained_fixed_source_facet_buckets	random_sample:facet_6:top_decile	ridge_area_concentration_distribution_signal	random_sample:facet_6	survives	77						3.068931068931069	feature=ridge_symp_area_effective_face_count; rule=highest_15_percent; precision=0.311688; recall=0.461538; spearman=0.702026	retained-table fixed source/facet diagnostic; not generated-candidate validation
retained_fixed_source_facet_buckets	random_product_sample:facet_7:top_decile	ridge_area_concentration_distribution_signal	random_product_sample:facet_7	survives	154						3.034169713781364	feature=ridge_symp_area_effective_face_count; rule=highest_15_percent; precision=0.305195; recall=0.456311; spearman=0.675022	retained-table fixed source/facet diagnostic; not generated-candidate validation
retained_fixed_source_facet_buckets	random_product_sample:facet_7:top_decile	ridge_area_concentration_distribution_signal	random_product_sample:facet_7	survives	154						3.034169713781364	feature=ridge_symp_area_normalized_entropy; rule=highest_15_percent; precision=0.305195; recall=0.456311; spearman=0.675022	retained-table fixed source/facet diagnostic; not generated-candidate validation
retained_fixed_source_facet_buckets	random_product_sample:facet_10:top_decile	ridge_area_concentration_distribution_signal	random_product_sample:facet_10	survives	308						2.9516629711751663	feature=ridge_symp_area_effective_face_count; rule=highest_15_percent; precision=0.295455; recall=0.443902; spearman=0.693494	retained-table fixed source/facet diagnostic; not generated-candidate validation
retained_fixed_source_facet_buckets	random_product_sample:facet_10:top_decile	ridge_area_concentration_distribution_signal	random_product_sample:facet_10	survives	308						2.9516629711751663	feature=ridge_symp_area_normalized_entropy; rule=highest_15_percent; precision=0.295455; recall=0.443902; spearman=0.690789	retained-table fixed source/facet diagnostic; not generated-candidate validation
retained_fixed_source_facet_buckets	random_product_sample:facet_9:top_decile	ridge_area_concentration_distribution_signal	random_product_sample:facet_9	survives	308						2.886791257522965	feature=ridge_symp_area_normalized_entropy; rule=highest_15_percent; precision=0.288961; recall=0.434146; spearman=0.639341	retained-table fixed source/facet diagnostic; not generated-candidate validation
retained_fixed_source_facet_buckets	random_product_sample:facet_11:top_decile	ridge_area_concentration_distribution_signal	random_product_sample:facet_11	survives	154						2.8404993065187236	feature=ridge_symp_area_effective_face_count; rule=highest_15_percent; precision=0.285714; recall=0.427184; spearman=0.697409	retained-table fixed source/facet diagnostic; not generated-candidate validation
retained_fixed_source_facet_buckets	random_product_sample:facet_11:top_decile	ridge_area_concentration_distribution_signal	random_product_sample:facet_11	survives	154						2.8404993065187236	feature=ridge_symp_area_normalized_entropy; rule=highest_15_percent; precision=0.285714; recall=0.427184; spearman=0.697409	retained-table fixed source/facet diagnostic; not generated-candidate validation
retained_fixed_source_facet_buckets	random_sample:facet_12:top_decile	ridge_area_concentration_distribution_signal	random_sample:facet_12	survives	77						2.813186813186813	feature=ridge_symp_area_effective_face_count; rule=highest_15_percent; precision=0.285714; recall=0.423077; spearman=0.683132	retained-table fixed source/facet diagnostic; not generated-candidate validation
retained_fixed_source_facet_buckets	random_sample:facet_12:top_decile	ridge_area_concentration_distribution_signal	random_sample:facet_12	survives	77						2.813186813186813	feature=ridge_symp_area_normalized_entropy; rule=highest_15_percent; precision=0.285714; recall=0.423077; spearman=0.678095	retained-table fixed source/facet diagnostic; not generated-candidate validation
