feature	left_q05	left_q95	population_left	population_right	q05_q95_interval_overlap	right_q05	right_q95	side_count
radial_rms	0.897140293650981	10.136940566738568	repulsive-gap[alpha=1]	repulsive-gap[regular]	0.0	0.8773826753016616	0.8773826753016618	3
angle_gap_cv	0.08155583502327228	0.5323579892636406	repulsive-gap[alpha=1]	repulsive-gap[regular]	0.0	1.731274681912423e-16	5.193824045737268e-16	3
log_perimeter	1.5283543551451413	2.2201331221697194	repulsive-gap[alpha=4]	repulsive-gap[regular]	0.0	1.5171063970610275	1.5171063970610277	3
covariance_anisotropy	1.6149577595956484	121.78369930917036	repulsive-gap[alpha=4]	repulsive-gap[regular]	0.0	1.0000000000000007	1.0000000000000036	3
radial_rms	0.8916006642705273	2.165473428315466	repulsive-gap[alpha=4]	repulsive-gap[regular]	0.0	0.8773826753016616	0.8773826753016618	3
angle_gap_cv	0.06961433514802853	0.36277441737516064	repulsive-gap[alpha=4]	repulsive-gap[regular]	0.0	1.731274681912423e-16	5.193824045737268e-16	3
log_perimeter	1.4304395680409805	2.1331913922170256	current-baseline[delta=0.2]	primal-hull-uniform-disk[points=n+4,origin=interior]	0.07485484850541382	1.3953300941118596	1.4856720637286507	4
covariance_anisotropy	1.495743828073869	83.32745595804997	current-baseline[delta=0.2]	primal-hull-uniform-disk[points=n+4,origin=interior]	0.028482447027686413	1.218007278888187	3.8344218505506307	4
radial_rms	0.7409115581317033	1.6149048006081508	current-baseline[delta=0.2]	primal-hull-uniform-disk[points=n+4,origin=interior]	0.09470410347230464	0.7166135064529712	0.8259834298016459	4
angle_gap_cv	0.2616784580808968	0.6400033631006521	current-baseline[delta=0.2]	primal-hull-uniform-disk[points=n+4,origin=interior]	0.3011288356665565	0.08880158795700899	0.4276612068472411	4
log_perimeter	1.4304395680409805	2.1331913922170256	current-baseline[delta=0.2]	regular-mutation[steps=4,scale=0.03]	0.0	1.3866981498765056	1.388654574687121	4
covariance_anisotropy	1.495743828073869	83.32745595804997	current-baseline[delta=0.2]	regular-mutation[steps=4,scale=0.03]	0.0	1.043180013305982	1.2131483362267557	4
radial_rms	0.7409115581317033	1.6149048006081508	current-baseline[delta=0.2]	regular-mutation[steps=4,scale=0.03]	0.0	0.7074416650822625	0.7094131936153507	4
angle_gap_cv	0.2616784580808968	0.6400033631006521	current-baseline[delta=0.2]	regular-mutation[steps=4,scale=0.03]	0.0	0.025606612856794293	0.0629196900701239	4
log_perimeter	1.4304395680409805	2.1331913922170256	current-baseline[delta=0.2]	repulsive-gap[alpha=16]	0.0637074190413582	1.3884986677214526	1.4778820194974707	4
covariance_anisotropy	1.495743828073869	83.32745595804997	current-baseline[delta=0.2]	repulsive-gap[alpha=16]	0.016811085106400205	1.0718143214868243	2.8785504201076884	4
radial_rms	0.7409115581317033	1.6149048006081508	current-baseline[delta=0.2]	repulsive-gap[alpha=16]	0.0633603108368483	0.7088477833931989	0.7983196123783503	4
angle_gap_cv	0.2616784580808968	0.6400033631006521	current-baseline[delta=0.2]	repulsive-gap[alpha=16]	0.1135991411568496	0.05865718423584082	0.32771888471475563	4
log_perimeter	1.4304395680409805	2.1331913922170256	current-baseline[delta=0.2]	repulsive-gap[alpha=1]	0.686338054957082	1.430732433898027	2.4539278523426935	4
covariance_anisotropy	1.495743828073869	83.32745595804997	current-baseline[delta=0.2]	repulsive-gap[alpha=1]	0.27134160951731073	1.5141188267292491	303.00990259221754	4
radial_rms	0.7409115581317033	1.6149048006081508	current-baseline[delta=0.2]	repulsive-gap[alpha=1]	0.4391066618554842	0.7468739373239729	2.7177225215915524	4
