stratum	n	threshold_quantile	threshold	tail_n	mean_residual_life	median_residual_life	max_excess	enough_exceedances_flag
product:5x5	1024	0.82999999999999996	0.60133061750918071	174	0.076044076246751802	0.066729370095787277	0.24246489040423269	yes
product:5x5	1024	0.83999999999999997	0.60624160278446093	164	0.075614331959928061	0.068020486131525504	0.23755390512895247	yes
product:5x5	1024	0.84999999999999998	0.61560455879610398	154	0.070777574153556691	0.062932228335773444	0.22819094911730942	yes
product:5x5	1024	0.85999999999999999	0.61911775686791626	144	0.072071547398647004	0.061258813509587118	0.22467775104549714	yes
product:5x5	1024	0.87	0.62555380420080908	133	0.07140690857367181	0.056971111997826673	0.21824170371260432	yes
product:5x5	1024	0.88	0.63230027852852	123	0.070185495434154366	0.060972569931427967	0.2114952293848934	yes
product:5x5	1024	0.89000000000000001	0.63919314393743265	113	0.069182152963870758	0.060082159671210889	0.20460236397598075	yes
product:5x5	1024	0.90000000000000002	0.64874497300963563	103	0.065770896967454057	0.058995775259012784	0.19505053490377777	yes
product:5x5	1024	0.91000000000000003	0.66386192591673876	93	0.057099932108806734	0.049302065683620278	0.17993358199667464	yes
product:5x5	1024	0.92000000000000004	0.6739983952386458	82	0.054050905903568348	0.046568810240054381	0.1697971126747676	yes
product:5x5	1024	0.93000000000000005	0.68032251604762839	72	0.054688504035212339	0.048152105120643995	0.16347299186578501	yes
product:5x5	1024	0.93999999999999995	0.69233334973199323	62	0.050804297862635094	0.041984010019697648	0.15146215818142017	yes
product:5x5	1024	0.94999999999999996	0.70765068818265142	52	0.043730375860863251	0.039299542029863299	0.13614481973076198	yes
product:5x5	1024	0.95999999999999996	0.72046119559194599	41	0.040983687947945317	0.036730581960893405	0.12333431232146741	yes
product:5x5	1024	0.96999999999999997	0.73396379347845908	31	0.038359937006328317	0.030562314586001116	0.10983171443495432	yes
product:5x5	1024	0.97999999999999998	0.75664903587808185	21	0.027981464266472272	0.022888880009555246	0.087146472035331546	yes
product:5x5	1024	0.98999999999999999	0.77953198148677294	11	0.02223055632306058	0.019720167150551027	0.06426352642664046	no
product:4x5	1024	0.75	0.50941811825874694	256	0.10260846409931765	0.091825416989534614	0.32870637067083275	yes
product:4x5	1024	0.76000000000000001	0.51202039845817338	246	0.10412067306880578	0.091494400002981591	0.32610409047140632	yes
product:4x5	1024	0.77000000000000002	0.5199407502098814	236	0.10047340232737209	0.090567903439333464	0.31818373871969829	yes
product:4x5	1024	0.78000000000000003	0.52761754027450181	226	0.097098532948530908	0.085525674668462837	0.31050694865507789	yes
product:4x5	1024	0.79000000000000004	0.53206352635873999	215	0.097511533181162596	0.087024909973255071	0.3060609625708397	yes
product:4x5	1024	0.80000000000000004	0.5418382639975764	205	0.092232165511607817	0.082599785685592786	0.29628622493200329	yes
product:4x5	1024	0.81000000000000005	0.54688641688777262	195	0.091780637478033222	0.081455329392655429	0.29123807204180707	yes
product:4x5	1024	0.81999999999999995	0.55802752633920438	185	0.085261212578108397	0.074866062690774227	0.28009696259037531	yes
product:4x5	1024	0.82999999999999996	0.56369112018957612	174	0.084810224522581384	0.077632354689998129	0.27443336874000357	yes
product:4x5	1024	0.83999999999999997	0.5728608936741314	164	0.080507886775850621	0.077086395166493349	0.26526359525544829	yes
product:4x5	1024	0.84999999999999998	0.58084349348833364	154	0.077559311897138314	0.072929193187094343	0.25728099544124605	yes
product:4x5	1024	0.85999999999999999	0.58909932517282326	144	0.074385519273528586	0.07116040732829193	0.24902516375675643	yes
product:4x5	1024	0.87	0.59925162950404454	133	0.070009275236997251	0.065895193870849966	0.23887285942553516	yes
product:4x5	1024	0.88	0.60348607786074648	123	0.071297996404435557	0.067031365584863889	0.23463841106883321	yes
product:4x5	1024	0.89000000000000001	0.61309152579728587	113	0.06750084636997937	0.058967374951969131	0.22503296313229382	yes
product:4x5	1024	0.90000000000000002	0.62441750588225087	103	0.062193459823693641	0.054908757297728372	0.21370698304732882	yes
product:4x5	1024	0.91000000000000003	0.6328493615265266	93	0.060010382018257612	0.048996355819297399	0.20527512740305309	yes
product:4x5	1024	0.92000000000000004	0.64949144917342372	82	0.050471888415827525	0.039105590988462835	0.18863303975615597	yes
product:4x5	1024	0.93000000000000005	0.66018073241798292	72	0.046092764786165842	0.035924483106591021	0.17794375651159677	yes
product:4x5	1024	0.93999999999999995	0.67011467855761808	62	0.042782445115204133	0.035221269826970047	0.16800981037196161	yes
product:4x5	1024	0.94999999999999996	0.67911590963771173	52	0.041403537956001775	0.037493807624446207	0.15900857929186796	yes
product:4x5	1024	0.95999999999999996	0.68851288331401628	41	0.04213192423522754	0.035211387221225188	0.14961160561556341	yes
product:4x5	1024	0.96999999999999997	0.70512701639339415	31	0.036680629651357551	0.027039822546611636	0.13299747253618555	yes
product:4x5	1024	0.97999999999999998	0.72358647370459728	21	0.030215695911313265	0.016732010039741785	0.11453801522498241	yes
product:4x5	1024	0.98999999999999999	0.73985937525205947	11	0.035296168570171489	0.033174616132614965	0.098265113677520222	no
product:4x6	1024	0.75	0.52617047312896326	256	0.092950262989061172	0.079828447691967508	0.3030960820692099	yes
product:4x6	1024	0.76000000000000001	0.53147547009454077	246	0.091317226377501642	0.079782450335665389	0.29779108510363239	yes
product:4x6	1024	0.77000000000000002	0.5395214883036793	236	0.086929002050757057	0.076874751484637349	0.28974506689449386	yes
product:4x6	1024	0.78000000000000003	0.54409748613155084	226	0.086074992288698957	0.074561317601970767	0.28516906906662232	yes
product:4x6	1024	0.79000000000000004	0.5462807992001868	215	0.088231630818018214	0.076963895484836953	0.28298575599798637	yes
product:4x6	1024	0.80000000000000004	0.55523536026140985	205	0.083356149068963423	0.071034484019737221	0.27403119493676331	yes
product:4x6	1024	0.81000000000000005	0.5599916312685167	195	0.082738638472652531	0.070424017087963642	0.26927492392965646	yes
product:4x6	1024	0.81999999999999995	0.56432368448894143	185	0.082768227474523795	0.069336705632497941	0.26494287070923173	yes
product:4x6	1024	0.82999999999999996	0.57047398715757602	174	0.081596590826705215	0.066727966304473196	0.25879256804059714	yes
product:4x6	1024	0.83999999999999997	0.57880545863702615	164	0.077994823107451941	0.06427957679408669	0.25046109656114701	yes
product:4x6	1024	0.84999999999999998	0.58461393471722922	154	0.077027150862051766	0.065363344700820947	0.24465262048094394	yes
product:4x6	1024	0.85999999999999999	0.5930372419033666	144	0.073692381727390704	0.0617663761391824	0.23622931329480656	yes
product:4x6	1024	0.87	0.60130099858537733	133	0.071054934128924774	0.059380263545577572	0.22796555661279583	yes
product:4x6	1024	0.88	0.61070295750606396	123	0.067023467738998324	0.055097467216879803	0.2185635976921092	yes
product:4x6	1024	0.89000000000000001	0.61861871810017066	113	0.064592016133121904	0.054520605236075603	0.2106478370980025	yes
product:4x6	1024	0.90000000000000002	0.62602533863616217	103	0.063075085132782094	0.054842200714300571	0.203241216562011	yes
product:4x6	1024	0.91000000000000003	0.63358939221344956	93	0.061911539975484965	0.053425728313007292	0.1956771629847236	yes
product:4x6	1024	0.92000000000000004	0.64295858663289374	82	0.060362738640984091	0.054943913585849657	0.18630796856527942	yes
product:4x6	1024	0.93000000000000005	0.65468740459847274	72	0.05612256936374433	0.053172748851042562	0.17457915059970042	yes
product:4x6	1024	0.93999999999999995	0.66519145065749663	62	0.053796077561566395	0.05347907996800999	0.16407510454067653	yes
product:4x6	1024	0.94999999999999996	0.68061704465128059	52	0.047302106295596828	0.044697988743807759	0.14864951054689257	yes
product:4x6	1024	0.95999999999999996	0.69763392816325365	41	0.040894468405586609	0.036439604017424299	0.13163262703491951	yes
product:4x6	1024	0.96999999999999997	0.71760663093661581	31	0.031171541411801031	0.027563031886522871	0.11165992426155735	yes
product:4x6	1024	0.97999999999999998	0.73323711553030657	21	0.026412749904923413	0.020745872424065004	0.09602943966786659	yes
product:4x6	1024	0.98999999999999999	0.75369849758019591	11	0.022330311126298685	0.01901345757031081	0.075568057617977247	no
generic:F12	512	0.75	0.55169154670928	128	0.079013931404562629	0.061208773470010025	0.27307472791488685	yes
generic:F12	512	0.76000000000000001	0.55769615384419191	123	0.076102055224924331	0.057313032103583406	0.26707012077997494	yes
generic:F12	512	0.77000000000000002	0.56494246947441096	118	0.071844727616418649	0.052084043448803297	0.25982380514975589	yes
generic:F12	512	0.78000000000000003	0.56951636855279952	113	0.070377096102478762	0.050700538040690524	0.25524990607136733	yes
