chord_witness_id	chosen_witness_id	disagree	frame_witness_id	mode	side_count	step
witness-9b39e209169a7ebae07a	witness-0277a3850e390549bab3	True	witness-0277a3850e390549bab3	offline_greedy_max	8	11
witness-9b39e209169a7ebae07a	witness-d7ec766adf6c6b5bc864	True	witness-d7ec766adf6c6b5bc864	offline_greedy_max	8	12
witness-9b39e209169a7ebae07a	witness-9b39e209169a7ebae07a	False	witness-9b39e209169a7ebae07a	offline_greedy_max	8	13
witness-a12701bd6eff7164119d	witness-12e3353712339a7ad493	True	witness-12e3353712339a7ad493	offline_greedy_max	8	14
witness-a12701bd6eff7164119d	witness-c4d0998194e8f5e59a7f	True	witness-c4d0998194e8f5e59a7f	offline_greedy_max	8	15
witness-a12701bd6eff7164119d	witness-a12701bd6eff7164119d	True	witness-d4480c3a2a8670393b81	offline_greedy_max	8	16
witness-42211577e50550fbc3ed	witness-42211577e50550fbc3ed	True	witness-d4480c3a2a8670393b81	offline_greedy_max	8	17
witness-75c103da69f76f73a635	witness-75c103da69f76f73a635	True	witness-d4480c3a2a8670393b81	offline_greedy_max	8	18
witness-191ebf2a73e2d771df76	witness-191ebf2a73e2d771df76	True	witness-d4480c3a2a8670393b81	offline_greedy_max	8	19
witness-5ec4e4c04bca0cc1c5bf	witness-5ec4e4c04bca0cc1c5bf	True	witness-d4480c3a2a8670393b81	offline_greedy_max	8	20
witness-23bfce81c20eeb227d1c	witness-23bfce81c20eeb227d1c	True	witness-d4480c3a2a8670393b81	offline_greedy_max	8	21
witness-79af58787abcc0d6b092	witness-d4480c3a2a8670393b81	True	witness-d4480c3a2a8670393b81	offline_greedy_max	8	22
witness-79af58787abcc0d6b092	witness-79af58787abcc0d6b092	False	witness-79af58787abcc0d6b092	offline_greedy_max	8	23
witness-93b65526579d71e0e8b3	witness-93b65526579d71e0e8b3	True	witness-87823e53a489479cff78	offline_greedy_max	8	24
witness-318bb4b3f19aa7b82ffc	witness-d7ec766adf6c6b5bc864	True	witness-d7ec766adf6c6b5bc864	offline_greedy_frame	8	1
witness-318bb4b3f19aa7b82ffc	witness-c98cb2fae4c2b3be45c9	True	witness-c98cb2fae4c2b3be45c9	offline_greedy_frame	8	2
witness-318bb4b3f19aa7b82ffc	witness-c1f19659a8390934946f	True	witness-c1f19659a8390934946f	offline_greedy_frame	8	3
witness-318bb4b3f19aa7b82ffc	witness-e56626446d17f6ae479f	True	witness-e56626446d17f6ae479f	offline_greedy_frame	8	4
witness-318bb4b3f19aa7b82ffc	witness-318bb4b3f19aa7b82ffc	False	witness-318bb4b3f19aa7b82ffc	offline_greedy_frame	8	5
witness-97e467b5a2ff21ceba2b	witness-d96a45eed5088d010656	True	witness-d96a45eed5088d010656	offline_greedy_frame	8	6
witness-97e467b5a2ff21ceba2b	witness-0277a3850e390549bab3	True	witness-0277a3850e390549bab3	offline_greedy_frame	8	7
witness-97e467b5a2ff21ceba2b	witness-f17126c32f4613f91ec2	True	witness-f17126c32f4613f91ec2	offline_greedy_frame	8	8
witness-97e467b5a2ff21ceba2b	witness-d157c9022faa07b7a375	True	witness-d157c9022faa07b7a375	offline_greedy_frame	8	9
witness-97e467b5a2ff21ceba2b	witness-e4f9a4db7f1a2dbc1c48	True	witness-e4f9a4db7f1a2dbc1c48	offline_greedy_frame	8	10
witness-97e467b5a2ff21ceba2b	witness-dc81961fa41431aeb90a	True	witness-dc81961fa41431aeb90a	offline_greedy_frame	8	11
witness-97e467b5a2ff21ceba2b	witness-9b39e209169a7ebae07a	True	witness-9b39e209169a7ebae07a	offline_greedy_frame	8	12
witness-97e467b5a2ff21ceba2b	witness-a8c7a27f61bba30aca17	True	witness-a8c7a27f61bba30aca17	offline_greedy_frame	8	13
witness-97e467b5a2ff21ceba2b	witness-42211577e50550fbc3ed	True	witness-42211577e50550fbc3ed	offline_greedy_frame	8	14
witness-97e467b5a2ff21ceba2b	witness-97e467b5a2ff21ceba2b	False	witness-97e467b5a2ff21ceba2b	offline_greedy_frame	8	15
witness-f55ae6537ad204fb0f8c	witness-c4d0998194e8f5e59a7f	True	witness-c4d0998194e8f5e59a7f	offline_greedy_frame	8	16
witness-f55ae6537ad204fb0f8c	witness-d4480c3a2a8670393b81	True	witness-d4480c3a2a8670393b81	offline_greedy_frame	8	17
witness-f55ae6537ad204fb0f8c	witness-191ebf2a73e2d771df76	True	witness-191ebf2a73e2d771df76	offline_greedy_frame	8	18
witness-f55ae6537ad204fb0f8c	witness-8cf0b8bdc6585d840795	True	witness-8cf0b8bdc6585d840795	offline_greedy_frame	8	19
witness-f55ae6537ad204fb0f8c	witness-68de0d4f117f5462e248	True	witness-68de0d4f117f5462e248	offline_greedy_frame	8	20
witness-f55ae6537ad204fb0f8c	witness-db013e962de0bb82f392	True	witness-db013e962de0bb82f392	offline_greedy_frame	8	21
witness-f55ae6537ad204fb0f8c	witness-bdfa36cded6f051a9051	True	witness-bdfa36cded6f051a9051	offline_greedy_frame	8	22
witness-f55ae6537ad204fb0f8c	witness-f55ae6537ad204fb0f8c	False	witness-f55ae6537ad204fb0f8c	offline_greedy_frame	8	23
witness-75c103da69f76f73a635	witness-79af58787abcc0d6b092	True	witness-79af58787abcc0d6b092	offline_greedy_frame	8	24
witness-318bb4b3f19aa7b82ffc	witness-318bb4b3f19aa7b82ffc	True	witness-d7ec766adf6c6b5bc864	offline_greedy_chord	8	1
witness-68de0d4f117f5462e248	witness-68de0d4f117f5462e248	True	witness-c1f19659a8390934946f	offline_greedy_chord	8	2
witness-97e467b5a2ff21ceba2b	witness-97e467b5a2ff21ceba2b	True	witness-c1f19659a8390934946f	offline_greedy_chord	8	3
witness-f17126c32f4613f91ec2	witness-f17126c32f4613f91ec2	True	witness-c1f19659a8390934946f	offline_greedy_chord	8	4
witness-dc81961fa41431aeb90a	witness-dc81961fa41431aeb90a	True	witness-c1f19659a8390934946f	offline_greedy_chord	8	5
witness-f55ae6537ad204fb0f8c	witness-f55ae6537ad204fb0f8c	True	witness-c1f19659a8390934946f	offline_greedy_chord	8	6
witness-c1f19659a8390934946f	witness-c1f19659a8390934946f	False	witness-c1f19659a8390934946f	offline_greedy_chord	8	7
witness-da74f621bfd5262fc44a	witness-da74f621bfd5262fc44a	True	witness-e56626446d17f6ae479f	offline_greedy_chord	8	8
witness-a8c7a27f61bba30aca17	witness-a8c7a27f61bba30aca17	True	witness-e56626446d17f6ae479f	offline_greedy_chord	8	9
witness-9b39e209169a7ebae07a	witness-9b39e209169a7ebae07a	True	witness-0277a3850e390549bab3	offline_greedy_chord	8	10
witness-a12701bd6eff7164119d	witness-a12701bd6eff7164119d	True	witness-0277a3850e390549bab3	offline_greedy_chord	8	11
